"year";"month";"product_id";"product_name";"revenue";"abc_class";"stab_percent";"product_dinamic"
1996.0;7.0;27;Schoggi Schokolade;877;A;"0%";Товар без спроса
1996.0;8.0;27;Schoggi Schokolade;526;A;-40%;Одноразовый хит
1997.0;2.0;27;Schoggi Schokolade;1755;A;"233%";Волатильный товар
1997.0;4.0;27;Schoggi Schokolade;5268;A;"200%";Волатильный товар
1997.0;7.0;27;Schoggi Schokolade;2195;A;-58%;Одноразовый хит
1997.0;12.0;27;Schoggi Schokolade;1756;A;-20%;Товар без спроса
1998.0;1.0;27;Schoggi Schokolade;439;C;-75%;Одноразовый хит
1998.0;3.0;27;Schoggi Schokolade;2415;A;"450%";Одноразовый хит
1996.0;8.0;28;Rössle Sauerkraut;728;A;"0%";Волатильный товар
1996.0;9.0;28;Rössle Sauerkraut;1165;A;"60%";Волатильный товар
1996.0;10.0;28;Rössle Sauerkraut;510;B;-56%;Одноразовый хит
1996.0;11.0;28;Rössle Sauerkraut;1565;A;"207%";Одноразовый хит
1996.0;12.0;28;Rössle Sauerkraut;946;A;-40%;Одноразовый хит
1997.0;1.0;28;Rössle Sauerkraut;1529;A;"62%";Волатильный товар
1997.0;2.0;28;Rössle Sauerkraut;2075;A;"36%";Волатильный товар
1997.0;3.0;28;Rössle Sauerkraut;655;A;-68%;Одноразовый хит
1997.0;4.0;28;Rössle Sauerkraut;3010;A;"359%";Одноразовый хит
1997.0;5.0;28;Rössle Sauerkraut;319;C;-89%;Одноразовый хит
1997.0;8.0;28;Rössle Sauerkraut;2052;A;"543%";Волатильный товар
1997.0;10.0;28;Rössle Sauerkraut;2736;A;"33%";Волатильный товар
1997.0;11.0;28;Rössle Sauerkraut;1140;A;-58%;Одноразовый хит
1997.0;12.0;28;Rössle Sauerkraut;1094;B;-4%;Товар без спроса
1998.0;2.0;28;Rössle Sauerkraut;137;C;-88%;Одноразовый хит
1998.0;3.0;28;Rössle Sauerkraut;2736;A;"1900%";Волатильный товар
1998.0;4.0;28;Rössle Sauerkraut;4104;A;"50%";Волатильный товар
1998.0;5.0;28;Rössle Sauerkraut;365;B;-91%;Одноразовый хит
1996.0;7.0;29;Thüringer Rostbratwurst;990;A;"0%";Волатильный товар
1996.0;8.0;29;Thüringer Rostbratwurst;1485;A;"50%";Якорный товар
1996.0;9.0;29;Thüringer Rostbratwurst;2475;A;"67%";Якорный товар
1996.0;11.0;29;Thüringer Rostbratwurst;3861;A;"56%";Волатильный товар
1996.0;12.0;29;Thüringer Rostbratwurst;3366;A;-13%;Одноразовый хит
1997.0;1.0;29;Thüringer Rostbratwurst;2079;A;-38%;Одноразовый хит
1997.0;2.0;29;Thüringer Rostbratwurst;2376;A;"14%";Одноразовый хит
1997.0;3.0;29;Thüringer Rostbratwurst;1782;A;-25%;Одноразовый хит
1997.0;4.0;29;Thüringer Rostbratwurst;4456;A;"150%";Одноразовый хит
1997.0;6.0;29;Thüringer Rostbratwurst;1238;A;-72%;Одноразовый хит
1997.0;8.0;29;Thüringer Rostbratwurst;3219;A;"160%";Волатильный товар
1997.0;9.0;29;Thüringer Rostbratwurst;5694;A;"77%";Якорный товар
1997.0;10.0;29;Thüringer Rostbratwurst;6437;A;"13%";Якорный товар
1997.0;12.0;29;Thüringer Rostbratwurst;8913;A;"38%";Волатильный товар
1998.0;1.0;29;Thüringer Rostbratwurst;2228;A;-75%;Одноразовый хит
1998.0;2.0;29;Thüringer Rostbratwurst;20302;A;"811%";Одноразовый хит
1998.0;3.0;29;Thüringer Rostbratwurst;1733;A;-91%;Одноразовый хит
1998.0;4.0;29;Thüringer Rostbratwurst;15102;A;"771%";Одноразовый хит
1996.0;7.0;30;Nord-Ost Matjeshering;1242;A;"0%";Товар без спроса
1996.0;8.0;30;Nord-Ost Matjeshering;124;C;-90%;Одноразовый хит
1996.0;9.0;30;Nord-Ost Matjeshering;207;C;"67%";Волатильный товар
1996.0;10.0;30;Nord-Ost Matjeshering;1201;A;"480%";Волатильный товар
1996.0;12.0;30;Nord-Ost Matjeshering;373;B;-69%;Одноразовый хит
1997.0;1.0;30;Nord-Ost Matjeshering;373;B;"0%";Волатильный товар
1997.0;2.0;30;Nord-Ost Matjeshering;580;B;"56%";Волатильный товар
1997.0;3.0;30;Nord-Ost Matjeshering;166;C;-71%;Одноразовый хит
1997.0;4.0;30;Nord-Ost Matjeshering;518;B;"213%";Волатильный товар
1997.0;5.0;30;Nord-Ost Matjeshering;906;A;"75%";Волатильный товар
1997.0;6.0;30;Nord-Ost Matjeshering;518;B;-43%;Одноразовый хит
1997.0;8.0;30;Nord-Ost Matjeshering;777;A;"50%";Одноразовый хит
1997.0;9.0;30;Nord-Ost Matjeshering;52;C;-93%;Одноразовый хит
1997.0;10.0;30;Nord-Ost Matjeshering;78;C;"50%";Волатильный товар
1997.0;11.0;30;Nord-Ost Matjeshering;1553;A;"1900%";Волатильный товар
1997.0;12.0;30;Nord-Ost Matjeshering;1036;B;-33%;Одноразовый хит
1998.0;1.0;30;Nord-Ost Matjeshering;518;B;-50%;Одноразовый хит
1998.0;2.0;30;Nord-Ost Matjeshering;3262;A;"530%";Одноразовый хит
1998.0;3.0;30;Nord-Ost Matjeshering;803;B;-75%;Одноразовый хит
1998.0;4.0;30;Nord-Ost Matjeshering;388;C;-52%;Товар без спроса
1998.0;5.0;30;Nord-Ost Matjeshering;104;C;-73%;Товар без спроса
1996.0;7.0;31;Gorgonzola Telino;200;C;"0%";Волатильный товар
1996.0;8.0;31;Gorgonzola Telino;550;A;"175%";Якорный товар
1996.0;10.0;31;Gorgonzola Telino;850;B;"55%";Якорный товар
1996.0;11.0;31;Gorgonzola Telino;1200;A;"41%";Якорный товар
1996.0;12.0;31;Gorgonzola Telino;1640;A;"37%";Волатильный товар
1997.0;1.0;31;Gorgonzola Telino;140;C;-91%;Одноразовый хит
1997.0;2.0;31;Gorgonzola Telino;30;C;-79%;Одноразовый хит
1997.0;3.0;31;Gorgonzola Telino;350;B;"1067%";Одноразовый хит
1997.0;4.0;31;Gorgonzola Telino;200;C;-43%;Одноразовый хит
1997.0;5.0;31;Gorgonzola Telino;1688;A;"744%";Волатильный товар
1997.0;6.0;31;Gorgonzola Telino;2138;A;"27%";Волатильный товар
1997.0;9.0;31;Gorgonzola Telino;600;B;-72%;Одноразовый хит
1997.0;10.0;31;Gorgonzola Telino;875;B;"46%";Одноразовый хит
1997.0;11.0;31;Gorgonzola Telino;138;C;-84%;Одноразовый хит
1997.0;12.0;31;Gorgonzola Telino;1862;A;"1255%";Одноразовый хит
1998.0;1.0;31;Gorgonzola Telino;925;B;-50%;Одноразовый хит
1998.0;2.0;31;Gorgonzola Telino;438;C;-53%;Одноразовый хит
1998.0;3.0;31;Gorgonzola Telino;1912;A;"337%";Одноразовый хит
1998.0;4.0;31;Gorgonzola Telino;188;C;-90%;Одноразовый хит
1998.0;5.0;31;Gorgonzola Telino;250;B;"33%";Одноразовый хит
1996.0;7.0;32;Mascarpone Fabioli;154;C;"0%";Волатильный товар
1996.0;9.0;32;Mascarpone Fabioli;1024;A;"567%";Волатильный товар
1996.0;10.0;32;Mascarpone Fabioli;154;C;-85%;Одноразовый хит
1997.0;4.0;32;Mascarpone Fabioli;1600;A;"942%";Одноразовый хит
1997.0;5.0;32;Mascarpone Fabioli;768;B;-52%;Одноразовый хит
1997.0;6.0;32;Mascarpone Fabioli;320;B;-58%;Товар без спроса
1997.0;10.0;32;Mascarpone Fabioli;128;C;-60%;Одноразовый хит
1997.0;11.0;32;Mascarpone Fabioli;320;B;"150%";Волатильный товар
1998.0;1.0;32;Mascarpone Fabioli;640;B;"100%";Волатильный товар
1998.0;2.0;32;Mascarpone Fabioli;192;C;-70%;Одноразовый хит
1998.0;3.0;32;Mascarpone Fabioli;1120;B;"483%";Волатильный товар
1998.0;4.0;32;Mascarpone Fabioli;2720;A;"143%";Волатильный товар
1998.0;5.0;32;Mascarpone Fabioli;32;C;-99%;Одноразовый хит
1996.0;7.0;33;Geitost;170;C;"0%";Товар без спроса
1996.0;8.0;33;Geitost;88;C;-48%;Товар без спроса
1996.0;10.0;33;Geitost;16;C;-82%;Одноразовый хит
1996.0;12.0;33;Geitost;120;C;"650%";Волатильный товар
1997.0;1.0;33;Geitost;238;C;"98%";Волатильный товар
1997.0;2.0;33;Geitost;40;C;-83%;Одноразовый хит
1997.0;3.0;33;Geitost;24;C;-40%;Одноразовый хит
1997.0;4.0;33;Geitost;40;C;"67%";Волатильный товар
1997.0;5.0;33;Geitost;132;C;"231%";Волатильный товар
1997.0;6.0;33;Geitost;85;C;-36%;Одноразовый хит
1997.0;7.0;33;Geitost;35;C;-59%;Одноразовый хит
1997.0;8.0;33;Geitost;50;C;"43%";Волатильный товар
1997.0;9.0;33;Geitost;170;C;"240%";Волатильный товар
1998.0;1.0;33;Geitost;138;C;-19%;Одноразовый хит
1998.0;2.0;33;Geitost;175;C;"27%";Одноразовый хит
1998.0;3.0;33;Geitost;55;C;-69%;Одноразовый хит
1998.0;4.0;33;Geitost;138;C;"150%";Одноразовый хит
1996.0;8.0;34;Sasquatch Ale;224;C;"0%";Товар без спроса
1996.0;9.0;34;Sasquatch Ale;157;C;-30%;Одноразовый хит
1996.0;11.0;34;Sasquatch Ale;515;B;"229%";Одноразовый хит
1996.0;12.0;34;Sasquatch Ale;112;C;-78%;Одноразовый хит
1997.0;2.0;34;Sasquatch Ale;224;C;"100%";Волатильный товар
1997.0;3.0;34;Sasquatch Ale;392;B;"75%";Волатильный товар
1997.0;5.0;34;Sasquatch Ale;140;C;-64%;Одноразовый хит
1997.0;6.0;34;Sasquatch Ale;560;B;"300%";Одноразовый хит
1997.0;10.0;34;Sasquatch Ale;364;C;-35%;Одноразовый хит
1997.0;11.0;34;Sasquatch Ale;420;B;"15%";Одноразовый хит
1997.0;12.0;34;Sasquatch Ale;140;C;-67%;Одноразовый хит
1998.0;2.0;34;Sasquatch Ale;140;C;"0%";Волатильный товар
1998.0;3.0;34;Sasquatch Ale;280;C;"100%";Якорный товар
1998.0;4.0;34;Sasquatch Ale;2520;A;"800%";Волатильный товар
1998.0;5.0;34;Sasquatch Ale;490;A;-81%;Одноразовый хит
1996.0;7.0;35;Steeleye Stout;288;B;"0%";Волатильный товар
1996.0;8.0;35;Steeleye Stout;1498;A;"420%";Волатильный товар
1996.0;10.0;35;Steeleye Stout;1152;A;-23%;Одноразовый хит
1996.0;12.0;35;Steeleye Stout;1008;A;-12%;Одноразовый хит
1997.0;1.0;35;Steeleye Stout;1368;A;"36%";Одноразовый хит
1997.0;2.0;35;Steeleye Stout;115;C;-92%;Одноразовый хит
1997.0;4.0;35;Steeleye Stout;54;C;-53%;Одноразовый хит
1997.0;5.0;35;Steeleye Stout;1008;A;"1767%";Одноразовый хит
1997.0;6.0;35;Steeleye Stout;360;B;-64%;Одноразовый хит
1997.0;7.0;35;Steeleye Stout;972;B;"170%";Одноразовый хит
1997.0;8.0;35;Steeleye Stout;540;B;-44%;Одноразовый хит
1997.0;10.0;35;Steeleye Stout;540;B;"0%";Волатильный товар
1997.0;11.0;35;Steeleye Stout;630;B;"17%";Волатильный товар
1997.0;12.0;35;Steeleye Stout;270;C;-57%;Одноразовый хит
1998.0;1.0;35;Steeleye Stout;1062;A;"293%";Одноразовый хит
1998.0;2.0;35;Steeleye Stout;666;B;-37%;Одноразовый хит
1998.0;3.0;35;Steeleye Stout;900;B;"35%";Волатильный товар
1998.0;4.0;35;Steeleye Stout;2106;A;"134%";Волатильный товар
1996.0;7.0;36;Inlagd Sill;380;B;"0%";Волатильный товар
1996.0;8.0;36;Inlagd Sill;456;B;"20%";Якорный товар
1996.0;9.0;36;Inlagd Sill;790;A;"73%";Якорный товар
1996.0;10.0;36;Inlagd Sill;912;A;"15%";Волатильный товар
1996.0;11.0;36;Inlagd Sill;304;C;-67%;Одноразовый хит
1996.0;12.0;36;Inlagd Sill;91;C;-70%;Товар без спроса
1997.0;1.0;36;Inlagd Sill;76;C;-17%;Одноразовый хит
1997.0;5.0;36;Inlagd Sill;2280;A;"2900%";Одноразовый хит
1997.0;6.0;36;Inlagd Sill;475;B;-79%;Одноразовый хит
1997.0;7.0;36;Inlagd Sill;1444;A;"204%";Одноразовый хит
1997.0;8.0;36;Inlagd Sill;285;C;-80%;Одноразовый хит
1997.0;9.0;36;Inlagd Sill;684;B;"140%";Волатильный товар
1997.0;10.0;36;Inlagd Sill;855;B;"25%";Волатильный товар
1997.0;11.0;36;Inlagd Sill;494;B;-42%;Одноразовый хит
1997.0;12.0;36;Inlagd Sill;570;B;"15%";Волатильный товар
1998.0;1.0;36;Inlagd Sill;950;B;"67%";Волатильный товар
1998.0;2.0;36;Inlagd Sill;380;C;-60%;Одноразовый хит
1998.0;3.0;36;Inlagd Sill;1805;A;"375%";Одноразовый хит
1998.0;4.0;36;Inlagd Sill;1311;B;-27%;Одноразовый хит
1996.0;7.0;37;Gravad lax;21;C;"0%";Волатильный товар
1996.0;10.0;37;Gravad lax;582;B;"2700%";Волатильный товар
1997.0;1.0;37;Gravad lax;208;C;-64%;Одноразовый хит
1997.0;5.0;37;Gravad lax;468;B;"125%";Волатильный товар
1998.0;1.0;37;Gravad lax;1560;A;"233%";Волатильный товар
1998.0;3.0;37;Gravad lax;208;C;-87%;Одноразовый хит
1996.0;10.0;38;Côte de Blaye;4216;A;"0%";Волатильный товар
1996.0;11.0;38;Côte de Blaye;16864;A;"300%";Волатильный товар
1996.0;12.0;38;Côte de Blaye;8432;A;-50%;Одноразовый хит
1997.0;1.0;38;Côte de Blaye;20869;A;"148%";Одноразовый хит
1997.0;3.0;38;Côte de Blaye;6324;A;-70%;Одноразовый хит
1997.0;4.0;38;Côte de Blaye;3952;A;-38%;Одноразовый хит
1997.0;5.0;38;Côte de Blaye;8959;A;"127%";Одноразовый хит
1997.0;7.0;38;Côte de Blaye;3952;A;-56%;Одноразовый хит
1997.0;9.0;38;Côte de Blaye;3952;A;"0%";Волатильный товар
1997.0;12.0;38;Côte de Blaye;3952;A;"0%";Якорный товар
1998.0;1.0;38;Côte de Blaye;18445;A;"367%";Якорный товар
1998.0;2.0;38;Côte de Blaye;26350;A;"43%";Волатильный товар
1998.0;3.0;38;Côte de Blaye;17128;A;-35%;Одноразовый хит
1998.0;4.0;38;Côte de Blaye;6588;A;-62%;Товар без спроса
1996.0;7.0;39;Chartreuse verte;691;A;"0%";Волатильный товар
1996.0;9.0;39;Chartreuse verte;1296;A;"88%";Волатильный товар
1996.0;10.0;39;Chartreuse verte;58;C;-96%;Одноразовый хит
1996.0;11.0;39;Chartreuse verte;1498;A;"2500%";Одноразовый хит
1996.0;12.0;39;Chartreuse verte;288;C;-81%;Одноразовый хит
1997.0;2.0;39;Chartreuse verte;374;B;"30%";Одноразовый хит
1997.0;3.0;39;Chartreuse verte;288;B;-23%;Одноразовый хит
1997.0;4.0;39;Chartreuse verte;180;C;-37%;Товар без спроса
1997.0;6.0;39;Chartreuse verte;180;C;"0%";Товар без спроса
1997.0;7.0;39;Chartreuse verte;90;C;-50%;Одноразовый хит
1997.0;8.0;39;Chartreuse verte;738;A;"720%";Одноразовый хит
1997.0;9.0;39;Chartreuse verte;414;C;-44%;Одноразовый хит
1997.0;12.0;39;Chartreuse verte;2664;A;"543%";Одноразовый хит
1998.0;1.0;39;Chartreuse verte;1062;B;-60%;Одноразовый хит
1998.0;2.0;39;Chartreuse verte;2394;A;"125%";Одноразовый хит
1998.0;3.0;39;Chartreuse verte;540;B;-77%;Одноразовый хит
1998.0;5.0;39;Chartreuse verte;396;B;-27%;Товар без спроса
1996.0;7.0;40;Boston Crab Meat;735;A;"0%";Волатильный товар
1996.0;8.0;40;Boston Crab Meat;1470;A;"100%";Волатильный товар
1996.0;9.0;40;Boston Crab Meat;735;A;-50%;Одноразовый хит
1996.0;11.0;40;Boston Crab Meat;59;C;-92%;Одноразовый хит
1997.0;1.0;40;Boston Crab Meat;764;B;"1200%";Одноразовый хит
1997.0;2.0;40;Boston Crab Meat;294;B;-62%;Одноразовый хит
1997.0;3.0;40;Boston Crab Meat;897;A;"205%";Одноразовый хит
1997.0;4.0;40;Boston Crab Meat;552;B;-38%;Одноразовый хит
1997.0;5.0;40;Boston Crab Meat;644;B;"17%";Волатильный товар
1997.0;6.0;40;Boston Crab Meat;957;A;"49%";Волатильный товар
1997.0;7.0;40;Boston Crab Meat;773;B;-19%;Одноразовый хит
1997.0;8.0;40;Boston Crab Meat;1104;A;"43%";Волатильный товар
1997.0;9.0;40;Boston Crab Meat;2650;A;"140%";Волатильный товар
1997.0;11.0;40;Boston Crab Meat;1822;A;-31%;Одноразовый хит
1997.0;12.0;40;Boston Crab Meat;18;C;-99%;Одноразовый хит
1998.0;1.0;40;Boston Crab Meat;2116;A;"11400%";Одноразовый хит
1998.0;2.0;40;Boston Crab Meat;1895;A;-10%;Одноразовый хит
1998.0;3.0;40;Boston Crab Meat;552;B;-71%;Одноразовый хит
1998.0;4.0;40;Boston Crab Meat;1012;B;"83%";Одноразовый хит
1996.0;7.0;41;Jack's New England Clam Chowder;393;B;"0%";Товар без спроса
1996.0;9.0;41;Jack's New England Clam Chowder;77;C;-80%;Одноразовый хит
1996.0;10.0;41;Jack's New England Clam Chowder;246;C;"220%";Одноразовый хит
1996.0;11.0;41;Jack's New England Clam Chowder;100;C;-59%;Одноразовый хит
1996.0;12.0;41;Jack's New England Clam Chowder;62;C;-38%;Одноразовый хит
1997.0;1.0;41;Jack's New England Clam Chowder;192;C;"212%";Волатильный товар
1997.0;2.0;41;Jack's New England Clam Chowder;231;C;"20%";Якорный товар
1997.0;4.0;41;Jack's New England Clam Chowder;1022;A;"343%";Волатильный товар
1997.0;5.0;41;Jack's New England Clam Chowder;193;C;-81%;Одноразовый хит
1997.0;6.0;41;Jack's New England Clam Chowder;203;C;"5%";Волатильный товар
1997.0;9.0;41;Jack's New England Clam Chowder;1621;A;"700%";Волатильный товар
1997.0;10.0;41;Jack's New England Clam Chowder;521;B;-68%;Одноразовый хит
1997.0;11.0;41;Jack's New England Clam Chowder;454;B;-13%;Одноразовый хит
1997.0;12.0;41;Jack's New England Clam Chowder;714;B;"57%";Одноразовый хит
1998.0;1.0;41;Jack's New England Clam Chowder;502;B;-30%;Одноразовый хит
1998.0;2.0;41;Jack's New England Clam Chowder;473;C;-6%;Товар без спроса
1998.0;3.0;41;Jack's New England Clam Chowder;386;C;-18%;Одноразовый хит
1998.0;4.0;41;Jack's New England Clam Chowder;1090;B;"182%";Одноразовый хит
1998.0;5.0;41;Jack's New England Clam Chowder;618;A;-43%;Одноразовый хит
1996.0;7.0;42;Singaporean Hokkien Fried Mee;98;C;"0%";Товар без спроса
1996.0;9.0;42;Singaporean Hokkien Fried Mee;90;C;-9%;Одноразовый хит
1996.0;10.0;42;Singaporean Hokkien Fried Mee;112;C;"25%";Одноразовый хит
1996.0;11.0;42;Singaporean Hokkien Fried Mee;101;C;-10%;Одноразовый хит
1997.0;1.0;42;Singaporean Hokkien Fried Mee;448;B;"344%";Волатильный товар
1997.0;3.0;42;Singaporean Hokkien Fried Mee;560;B;"25%";Якорный товар
1997.0;4.0;42;Singaporean Hokkien Fried Mee;924;A;"65%";Волатильный товар
1997.0;6.0;42;Singaporean Hokkien Fried Mee;392;B;-58%;Одноразовый хит
1997.0;7.0;42;Singaporean Hokkien Fried Mee;1400;A;"257%";Одноразовый хит
1997.0;8.0;42;Singaporean Hokkien Fried Mee;70;C;-95%;Одноразовый хит
1997.0;9.0;42;Singaporean Hokkien Fried Mee;1344;A;"1820%";Одноразовый хит
1997.0;11.0;42;Singaporean Hokkien Fried Mee;392;B;-71%;Одноразовый хит
1997.0;12.0;42;Singaporean Hokkien Fried Mee;476;C;"21%";Волатильный товар
1998.0;1.0;42;Singaporean Hokkien Fried Mee;868;B;"82%";Волатильный товар
1998.0;2.0;42;Singaporean Hokkien Fried Mee;350;C;-60%;Одноразовый хит
1998.0;3.0;42;Singaporean Hokkien Fried Mee;140;C;-60%;Одноразовый хит
1998.0;4.0;42;Singaporean Hokkien Fried Mee;1568;B;"1020%";Одноразовый хит
1996.0;8.0;43;Ipoh Coffee;1472;A;"0%";Волатильный товар
1996.0;9.0;43;Ipoh Coffee;2061;A;"40%";Волатильный товар
1996.0;10.0;43;Ipoh Coffee;1472;A;-29%;Одноразовый хит
1997.0;2.0;43;Ipoh Coffee;736;A;-50%;Товар без спроса
1997.0;3.0;43;Ipoh Coffee;662;A;-10%;Товар без спроса
1997.0;4.0;43;Ipoh Coffee;690;B;"4%";Волатильный товар
1997.0;5.0;43;Ipoh Coffee;3910;A;"467%";Волатильный товар
1997.0;8.0;43;Ipoh Coffee;920;A;-76%;Одноразовый хит
1997.0;9.0;43;Ipoh Coffee;276;C;-70%;Одноразовый хит
1997.0;10.0;43;Ipoh Coffee;2944;A;"967%";Одноразовый хит
1997.0;12.0;43;Ipoh Coffee;1380;A;-53%;Одноразовый хит
1998.0;1.0;43;Ipoh Coffee;1886;A;"37%";Волатильный товар
1998.0;3.0;43;Ipoh Coffee;2254;A;"20%";Якорный товар
1998.0;4.0;43;Ipoh Coffee;2760;A;"22%";Волатильный товар
1998.0;5.0;43;Ipoh Coffee;1656;A;-40%;Одноразовый хит
1996.0;8.0;44;Gula Malacca;946;A;"0%";Волатильный товар
1996.0;11.0;44;Gula Malacca;1194;A;"26%";Волатильный товар
1997.0;1.0;44;Gula Malacca;620;B;-48%;Одноразовый хит
1997.0;2.0;44;Gula Malacca;1550;A;"150%";Одноразовый хит
1997.0;3.0;44;Gula Malacca;264;B;-83%;Одноразовый хит
1997.0;4.0;44;Gula Malacca;175;C;-34%;Одноразовый хит
1997.0;5.0;44;Gula Malacca;778;B;"344%";Одноразовый хит
1997.0;6.0;44;Gula Malacca;603;B;-22%;Одноразовый хит
1997.0;8.0;44;Gula Malacca;195;C;-68%;Одноразовый хит
1997.0;9.0;44;Gula Malacca;953;A;"390%";Волатильный товар
1997.0;10.0;44;Gula Malacca;1439;A;"51%";Волатильный товар
1997.0;11.0;44;Gula Malacca;311;C;-78%;Одноразовый хит
1997.0;12.0;44;Gula Malacca;195;C;-38%;Одноразовый хит
1998.0;1.0;44;Gula Malacca;311;C;"60%";Волатильный товар
1998.0;3.0;44;Gula Malacca;467;C;"50%";Якорный товар
1998.0;4.0;44;Gula Malacca;525;C;"12%";Волатильный товар
1996.0;12.0;45;Rogede sild;114;C;"0%";Волатильный товар
1997.0;3.0;45;Rogede sild;228;C;"100%";Волатильный товар
1997.0;4.0;45;Rogede sild;200;C;-12%;Одноразовый хит
1997.0;5.0;45;Rogede sild;950;A;"376%";Одноразовый хит
1997.0;8.0;45;Rogede sild;190;C;-80%;Одноразовый хит
1997.0;10.0;45;Rogede sild;1045;A;"450%";Одноразовый хит
1997.0;11.0;45;Rogede sild;798;A;-24%;Одноразовый хит
1997.0;12.0;45;Rogede sild;256;C;-68%;Одноразовый хит
1998.0;1.0;45;Rogede sild;342;C;"33%";Одноразовый хит
1998.0;2.0;45;Rogede sild;142;C;-58%;Одноразовый хит
1998.0;3.0;45;Rogede sild;285;C;"100%";Одноразовый хит
1998.0;4.0;45;Rogede sild;190;C;-33%;Одноразовый хит
1996.0;8.0;46;Spegesild;144;C;"0%";Волатильный товар
1996.0;10.0;46;Spegesild;288;B;"100%";Якорный товар
1996.0;12.0;46;Spegesild;701;B;"143%";Волатильный товар
1997.0;1.0;46;Spegesild;211;C;-70%;Одноразовый хит
1997.0;2.0;46;Spegesild;336;B;"59%";Одноразовый хит
1997.0;3.0;46;Spegesild;48;C;-86%;Одноразовый хит
1997.0;4.0;46;Spegesild;108;C;"125%";Волатильный товар
1997.0;8.0;46;Spegesild;276;C;"156%";Якорный товар
1997.0;9.0;46;Spegesild;1260;A;"357%";Волатильный товар
1997.0;10.0;46;Spegesild;504;B;-60%;Одноразовый хит
1997.0;11.0;46;Spegesild;336;B;-33%;Одноразовый хит
1998.0;1.0;46;Spegesild;420;C;"25%";Одноразовый хит
1998.0;2.0;46;Spegesild;252;C;-40%;Одноразовый хит
1998.0;3.0;46;Spegesild;288;C;"14%";Волатильный товар
1998.0;4.0;46;Spegesild;576;C;"100%";Волатильный товар
1998.0;5.0;46;Spegesild;396;B;-31%;Одноразовый хит
1996.0;10.0;47;Zaanse koeken;122;C;"0%";Волатильный товар
1997.0;1.0;47;Zaanse koeken;646;B;"431%";Волатильный товар
1997.0;3.0;47;Zaanse koeken;228;C;-65%;Одноразовый хит
1997.0;4.0;47;Zaanse koeken;57;C;-75%;Одноразовый хит
1997.0;6.0;47;Zaanse koeken;238;C;"317%";Одноразовый хит
1997.0;7.0;47;Zaanse koeken;142;C;-40%;Одноразовый хит
1997.0;9.0;47;Zaanse koeken;674;B;"373%";Одноразовый хит
1997.0;10.0;47;Zaanse koeken;636;B;-6%;Одноразовый хит
1997.0;11.0;47;Zaanse koeken;285;C;-55%;Товар без спроса
1997.0;12.0;47;Zaanse koeken;285;C;"0%";Волатильный товар
1998.0;1.0;47;Zaanse koeken;380;C;"33%";Волатильный товар
1998.0;2.0;47;Zaanse koeken;200;C;-48%;Одноразовый хит
1998.0;3.0;47;Zaanse koeken;466;C;"133%";Одноразовый хит
1997.0;1.0;48;Chocolade;714;B;"0%";Товар без спроса
1997.0;2.0;48;Chocolade;153;C;-79%;Одноразовый хит
1997.0;4.0;48;Chocolade;191;C;"25%";Одноразовый хит
1997.0;7.0;48;Chocolade;76;C;-60%;Одноразовый хит
1997.0;10.0;48;Chocolade;306;C;"300%";Одноразовый хит
1998.0;1.0;48;Chocolade;102;C;-67%;Одноразовый хит
1996.0;7.0;49;Maxilaku;640;A;"0%";Товар без спроса
1996.0;8.0;49;Maxilaku;240;B;-62%;Одноразовый хит
1996.0;9.0;49;Maxilaku;480;B;"100%";Волатильный товар
1996.0;11.0;49;Maxilaku;560;B;"17%";Якорный товар
1997.0;1.0;49;Maxilaku;960;A;"71%";Волатильный товар
1997.0;2.0;49;Maxilaku;336;B;-65%;Одноразовый хит
1997.0;3.0;49;Maxilaku;384;B;"14%";Волатильный товар
1997.0;4.0;49;Maxilaku;500;B;"30%";Волатильный товар
1997.0;5.0;49;Maxilaku;120;C;-76%;Одноразовый хит
1997.0;7.0;49;Maxilaku;860;B;"617%";Одноразовый хит
1997.0;12.0;49;Maxilaku;80;C;-91%;Одноразовый хит
1998.0;2.0;49;Maxilaku;1740;A;"2075%";Одноразовый хит
1998.0;3.0;49;Maxilaku;1360;A;-22%;Одноразовый хит
1998.0;4.0;49;Maxilaku;1240;B;-9%;Товар без спроса
1996.0;11.0;50;Valkoinen suklaa;195;C;"0%";Волатильный товар
1996.0;12.0;50;Valkoinen suklaa;195;C;"0%";Якорный товар
1997.0;1.0;50;Valkoinen suklaa;520;B;"167%";Волатильный товар
1997.0;3.0;50;Valkoinen suklaa;325;B;-38%;Одноразовый хит
1997.0;8.0;50;Valkoinen suklaa;406;B;"25%";Волатильный товар
1997.0;11.0;50;Valkoinen suklaa;975;A;"140%";Волатильный товар
1998.0;3.0;50;Valkoinen suklaa;536;B;-45%;Одноразовый хит
1998.0;5.0;50;Valkoinen suklaa;358;B;-33%;Товар без спроса
1996.0;7.0;51;Manjimup Dried Apples;3180;A;"0%";Товар без спроса
1996.0;8.0;51;Manjimup Dried Apples;85;C;-97%;Одноразовый хит
1996.0;10.0;51;Manjimup Dried Apples;2035;A;"2300%";Одноразовый хит
1996.0;11.0;51;Manjimup Dried Apples;848;A;-58%;Одноразовый хит
1996.0;12.0;51;Manjimup Dried Apples;763;B;-10%;Одноразовый хит
1997.0;3.0;51;Manjimup Dried Apples;1950;A;"156%";Волатильный товар
1997.0;5.0;51;Manjimup Dried Apples;2862;A;"47%";Якорный товар
